income,property_value,loan_amount,interest_rate,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,covenant_count
85.0,165000.0,155000.0,5.75,False,False,False,False,False,False,True,0.0
109.0,235000.0,15000.0,6.875,False,False,False,False,False,False,True,0.0
79.0,335000.0,235000.0,7.25,False,False,False,False,False,False,True,0.0
75.0,175000.0,145000.0,6.5,False,False,False,False,False,False,True,0.0
79.0,295000.0,295000.0,7.25,False,False,False,False,False,False,True,0.0
135.0,385000.0,15000.0,6.25,False,False,False,False,False,False,True,0.0
122.0,275000.0,225000.0,7.875,False,False,False,False,False,False,True,0.0
55.0,265000.0,245000.0,6.375,False,False,False,False,False,False,True,0.0
70.0,315000.0,305000.0,6.5,False,False,False,False,False,False,True,0.0
55.0,205000.0,195000.0,6.25,False,False,False,False,False,False,True,0.0
80.0,325000.0,275000.0,4.75,True,False,False,False,False,False,False,0.0
86.0,155000.0,15000.0,6.5,False,False,False,False,False,False,True,0.0
47.0,165000.0,155000.0,5.75,False,False,False,False,False,False,True,0.0
109.0,625000.0,425000.0,8.0,False,False,False,False,False,False,True,0.0
121.0,305000.0,295000.0,6.5,False,False,False,False,False,False,True,0.0
93.0,435000.0,405000.0,6.875,False,False,False,False,False,False,True,0.0
135.0,425000.0,405000.0,5.875,False,False,False,False,False,False,True,0.0
149.0,395000.0,335000.0,6.275,False,False,False,False,False,False,True,0.0
32.0,185000.0,145000.0,7.0,False,False,False,False,False,False,True,0.0
42.0,175000.0,165000.0,4.875,False,False,False,False,False,False,True,0.0
86.0,205000.0,165000.0,7.25,False,False,False,False,False,False,True,0.0
126.0,555000.0,435000.0,6.275,False,False,False,False,False,False,True,0.0
256.0,675000.0,615000.0,7.125,False,False,False,False,False,False,True,0.0
124.0,405000.0,325000.0,6.125,False,False,False,False,False,False,False,0.0
181.0,535000.0,485000.0,7.25,False,False,False,False,False,False,False,0.0
81.0,305000.0,295000.0,6.875,False,False,False,False,False,True,False,0.0
176.0,565000.0,505000.0,7.5,False,False,False,False,False,False,True,0.0
96.0,165000.0,125000.0,5.75,False,False,False,False,False,True,False,0.0
203.0,545000.0,515000.0,5.25,False,False,False,False,False,False,True,0.0
96.0,315000.0,105000.0,8.375,False,False,False,False,False,False,False,0.0
190.0,345000.0,315000.0,7.625,False,False,False,False,False,True,False,0.0
71.0,135000.0,135000.0,7.125,False,False,False,False,False,False,True,0.0
117.0,75000.0,65000.0,7.49,False,False,False,False,False,True,False,0.0
96.0,275000.0,225000.0,6.75,False,False,False,False,False,True,False,0.0
116.0,465000.0,465000.0,6.99,True,False,False,False,False,False,False,0.0
90.0,355000.0,335000.0,5.863,False,False,False,False,False,False,True,0.0
211.0,505000.0,475000.0,6.5,False,True,False,False,False,False,False,8.0
149.0,405000.0,365000.0,7.625,False,False,False,False,False,False,False,943.0
67.0,225000.0,225000.0,6.25,False,False,False,False,False,False,True,0.0
208.0,395000.0,315000.0,6.625,False,False,False,False,False,False,True,0.0
47.0,255000.0,225000.0,6.5,False,False,False,False,False,False,False,0.0
